銩	铥
鑄	铸
駐	驻
準	准
雋	隽
駿	骏
鱒	鳟
眾	众
衆	众
鯽	鲫
櫛	栉
騭	骘
繒	缯
証	证
證	证
贈	赠
扺	抵
誌	志
阯	址
遲	冲
摯	挚
漬	渍
紙	纸
贄	贽
躓	踬
軹	轵
輊	轾
遲	迟
鷙	鸷
織	织
職	职
晉	晋
塵	尘
盡	尽
儘	尽
縉	缙
縝	缜
診	诊
賑	赈
軫	轸
進	进
鎮	镇
陣	阵
陳	陈
姪	侄
質	质
軼	轶
鴆	鸩
執	执
縶	絷
緝	缉
輯	辑
徵	征
癥	症
懲	惩
扠	叉
硨	砗
車	车
鹺	鹾
鑿	凿
諑	诼
錯	错
齪	龊
巑	漓
攛	撺
攢	攒
燦	灿
瓚	瓒
竄	窜
纘	缵
讚	赞
贊	赞
趲	趱
躥	蹿
躦	躜
鑽	钻
饌	馔
剎	刹
偺	咱
鍘	铡
參	参
塹	堑
嶄	崭
懺	忏
慘	惨
慚	惭
攙	搀
斬	斩
槧	椠
磣	碜
讒	谗
譖	谮
讖	谶
鏨	錾
饞	馋
驂	骖
黲	黪
倉	仓
倀	伥
傖	伧
創	创
廠	厂
嗆	呛
悵	怅
愴	怆
戧	戗
搶	抢
槍	枪
滄	沧
漲	涨
熗	炝
暢	畅
瘡	疮
脹	胀
艙	舱
蒼	苍
蹌	跄
錆	锖
閶	阊
鯧	鲳
債	债
綵	彩
採	采
蠆	虿
釵	钗
冊	册
嘖	啧
幘	帻
柵	栅
簀	箦
責	责
悽	凄
淒	凄
處	处
覷	觑
隻	只
蹠	跖
呎	尺
慼	戚
齣	出
擲	掷
滌	涤
躑	踯
韆	千
薦	荐
囅	冁
淺	浅
濺	溅
蕆	蒇
賤	贱
踐	践
遷	迁
釧	钏
闡	阐
韉	鞯
徹	彻
綴	缀
輟	辍
轍	辙
鐵	铁
鋨	锇
僉	佥
簷	檐
簽	签
籤	签
襝	裣
覘	觇
諂	谄
疊	叠
諜	谍
貼	贴
輒	辄
鉆	钻
聽	听
廳	厅
請	请
鯖	鲭
體	体
屜	屉
滯	滞
締	缔
諦	谛
遞	递
勦	剿
岧	迢
礎	础
綃	绡
艸	艹
謅	诌
誚	诮
譙	谯
軺	轺
鈔	钞
鍬	锹
鷦	鹪
齠	龆
囑	嘱
燭	烛
矚	瞩
觸	触
吋	寸
叢	丛
傯	偬
蔥	葱
寵	宠
總	总
聰	聪
蓯	苁
銃	铳
驄	骢
脧	睃
芻	刍
鞦	秋
醜	丑
墜	坠
樞	枢
皺	皱
縐	绉
縋	缒
諏	诹
趨	趋
鄒	邹
錘	锤
錐	锥
雛	雏
騶	驺
騅	骓
鯫	鲰
鰍	鳅
築	筑
縮	缩
軸	轴
朮	术
絀	绌
沖	冲
衝	冲
蟲	虫
贅	赘
驟	骤
鷲	鹫
側	侧
庂	仄
廁	厕
惻	恻
測	测
櫬	榇
齔	龀
層	层
緻	致
癡	痴
幟	帜
梔	栀
熾	炽
緇	缁
恥	耻
觶	觯
輜	辎
錙	锱
馳	驰
鯔	鲻
鴟	鸱
齒	齿
則	则
飭	饬
親	亲
襯	衬
寢	寝
針	针
鋟	锓
蟄	蛰
稱	称
儈	侩
噲	哙
墮	堕
橢	椭
綞	缍
詫	诧
鍺	锗
馱	驮
駝	驼
鴕	鸵
鼉	鼍
託	托
濁	浊
籜	箨
鐸	铎
鐲	镯
歎	叹
嘆	叹
彈	弹
憚	惮
撣	掸
攤	摊
殫	殚
灘	滩
瘓	痪
癱	瘫
綻	绽
誕	诞
奪	夺
脫	脱
撢	掸
貪	贪
賧	赕
鰨	鳎
湯	汤
燙	烫
碭	砀
蕩	荡
盪	荡
鐋	铴
兌	兑
颱	台
態	态
紿	绐
蛻	蜕
鈦	钛
駘	骀
鮐	鲐
擇	择
澤	泽
撐	撑
攄	摅
討	讨
釷	钍
噸	吨
慟	恸
統	统
頹	颓
囪	囱
鋱	铽
闖	闯
擺	摆
罷	罢
鈀	钯
頗	颇
辦	办
販	贩
鈑	钣
唄	呗
壩	坝
珮	佩
狽	狈
貝	贝
敗	败
鋇	钡
緶	缏
編	编
諞	谝
騙	骗
貶	贬
評	评
幣	币
廢	废
斃	毙
閉	闭
鉋	刨
鑤	刨
砲	炮
佈	布
拋	抛
皰	疱
鈽	钸
鋪	铺
飽	饱
鮑	鲍
齙	龅
錶	表
標	标
縹	缥
鏢	镖
鑣	镳
飄	飘
飆	飙
驃	骠
鰾	鳔
稟	禀
豐	丰
馮	冯
楓	枫
灃	沣
瘋	疯
諷	讽
風	风
襬	摆
鈹	铍
嗶	哔
畢	毕
潷	滗
筆	笔
篳	筚
蓽	荜
蹕	跸
鉍	铋
鵯	鹎
廈	厦
芐	苄
蝦	虾
賀	贺
學	学
澩	泶
瘧	疟
謔	谑
鶴	鹤
嫻	娴
捍	扞
漢	汉
銲	焊
釬	钎
閑	闲
閒	闲
韓	韩
鷳	鹇
鷴	鹇
轄	辖
鹹	咸
檻	槛
緘	缄
艦	舰
啣	衔
銜	衔
頷	颔
餡	馅
郃	合
閤	合
闔	阖
陜	陕
頜	颌
鴿	鸽
骯	肮
鈧	钪
閌	闶
項	项
頏	颃
該	该
諧	谐
賅	赅
頦	颏
駭	骇
鮭	鲑
覈	核
倖	幸
絎	绗
