# 한자|뜻|음|부수|획수
匿|숨길|닉|匸|11
溺|물에 빠질, 마음이|닉|氵|13
多|많을|다|夕|6
茶|차|다|艹|10
亶|믿음, 도타울|단|亠|13
但|다만|단|亻|7
單|홑|단|口|12
團|둥글, 모일|단|囗|14
壇|제터, 단|단|土|16
彖|판단할|단|彑|9
斷|끊을, 결단할|단|斤|18
旦|아침|단|日|5
檀|박달나무, 단향목|단|木|17
段|조각, 갈림|단|殳|9
湍|여울|단|氵|12
短|짧을, 허물|단|矢|12
端|바를, 실마리|단|立|14
簞|밥그릇, 상자|단|竹|18
緞|비단|단|糸|15
蛋|새알|단|虫|11
袒|웃통벗을|단|衤|10
鄲|조나라 서울|단|阝|15
鍛|두드릴|단|金|17
丹|붉을, 정성스러울|단|丶|4
撻|매질할, 빠를|달|扌|16
澾|미끄러울|달|氵|16
獺|수달|달|犭|19
疸|달병|달|疒|10
達|통할, 보낼|달|辶|13
啖|씹을, 삼킬|담|口|11
坍|무너질|담|土|7
憺|편안할, 움직일|담|忄|16
擔|멜, 맡을|담|扌|16
曇|구름낄|담|日|16
淡|엷을, 싱거울|담|氵|11
湛|괼, 깊을|담|氵|12
潭|깊을, 연못|담|氵|15
澹|싱거울, 담박할|담|氵|16
痰|가래|담|疒|13
聃|귓바퀴 없을, 사람|담|耳|11
膽|쓸개, 담력|담|月|17
蕁|지모, 쐐기풀|담|艹|16
覃|깊을, 벋을|담|覀|12
談|이야기|담|言|15
譚|편안할, 이야기|담|言|19
錟|날카로울, 찌를|담|金|16
沓|합할, 겹칠|답|水|8
畓|논|답|田|9
答|대답할, 갚을|답|竹|12
踏|밟을|답|足|15
遝|뒤섞일, 모일|답|辶|14
唐|당나라, 황당할|당|口|10
堂|집, 대청|당|土|11
塘|못, 방죽|당|土|13
幢|기, 수레휘장|당|巾|15
戇|어리석을|당|心|28
撞|칠, 찌를|당|扌|15
棠|팔배나무|당|木|12
當|마땅할, 저당|당|田|13
螳|사마귀|당|虫|17
黨|무리|당|黑|20
糖|엿|당|米|16
代|대신할, 번갈아|대|亻|5
垈|터|대|土|8
坮|들|대|土|8
大|클|대|大|3
對|대답할, 대할|대|寸|14
岱|대산, 클|대|山|8
帶|띠, 찰|대|巾|11
待|기다릴, 대접할|대|彳|9
戴|일, 받들|대|戈|17
擡|들|대|扌|17
玳|대모|대|王|9
臺|대, 마을|대|至|14
袋|자루, 전대|대|衣|11
貸|빌릴|대|貝|12
隊|대, 떼|대|阝|12
黛|눈썹 먹, 그린 눈썹|대|黑|17
宅|댁|댁|宀|6
德|큰, 은혜|덕|彳|15
悳|덕, 선행|덕|心|12
倒|넘어질, 거꾸로|도|亻|10
刀|칼|도|刀|2
到|이를, 주밀할|도|刂|8
圖|그림, 꾀할|도|囗|14
堵|담, 편안히 살|도|土|12
塗|바를, 길|도|土|13
導|이끌|도|寸|16
屠|죽일, 백장|도|尸|12
島|섬|도|山|10
嶋|섬|도|山|14
徒|무리, 걸어다닐|도|彳|10
悼|슬퍼할|도|忄|11
挑|돋을, 집적거릴|도|扌|9
掉|흔들, 떨칠|도|扌|11
搗|찧을|도|扌|13
桃|복숭아|도|木|10
棹|노|도|木|12
櫂|노, 배|도|木|18
淘|일|도|氵|11
渡|건널, 나루|도|氵|12
滔|창일할, 물세차게 흐르는|도|氵|13
濤|물결|도|氵|17
燾|비출, 덮을|도|灬|18
盜|도둑, 훔칠|도|皿|12
睹|볼|도|目|14
禱|빌|도|示|19
稻|벼|도|禾|15
萄|포도, 머루|도|艹|12
覩|볼|도|見|16
賭|노름|도|貝|16
跳|뛸, 달아날|도|足|13
蹈|밟을|도|足|17
逃|달아날|도|辶|10
途|길|도|辶|11
道|길, 말할|도|辶|13
都|도읍, 모두|도|阝|12
鍍|올릴|도|金|17
陶|질그릇, 기뻐할|도|阝|11
韜|감출|도|韋|19
度|법도, 자|도|广|9
毒|독, 해칠|독|毋|8
瀆|더럽힐, 도랑|독|氵|18
牘|서찰, 서판|독|片|19
犢|송아지|독|牛|19
獨|홀로, 외로울|독|犭|16
督|감독할, 거느릴|독|目|13
禿|대머리|독|禾|7
篤|도타울, 중할|독|竹|16
纛|기|독|糸|25
讀|읽을|독|言|22
墩|돈대|돈|土|15
惇|도타울|돈|忄|11
敦|도타울|돈|攵|12
旽|밝을|돈|日|8
暾|아침해|돈|日|16
沌|기운덩어리, 돌|돈|氵|7
焞|어스레할|돈|火|12
燉|불 이글이글할|돈|火|16
豚|돼지, 지척거릴|돈|豕|11
頓|조아릴, 머무를|돈|頁|13
乭|돌|돌|乙|6
突|부딪칠, 갑자기|돌|穴|9
仝|한가지, 같을|동|人|5
冬|겨울|동|冫|5
凍|얼|동|冫|10
動|움직일, 어지러울|동|力|11
同|한가지, 화할|동|口|6
憧|그리워할|동|忄|15
東|동녘|동|木|8
桐|오동나무|동|木|10
棟|마룻대|동|木|12
洞|동네, 골짜기|동|氵|9
潼|물 이름|동|氵|15
疼|아플|동|疒|10
瞳|눈동자|동|目|17
童|아이, 민둥민둥할|동|立|12
胴|큰창자, 구간|동|月|10
董|바로잡을, 고물|동|艹|13
銅|구리|동|金|14
兜|투구|두|儿|11
斗|말, 갑자기|두|斗|4
杜|막을, 팥배나무|두|木|7
枓|두공|두|木|8
痘|마마|두|疒|12
竇|구멍, 규문|두|穴|20
荳|콩|두|艹|11
讀|구두|두|言|22
豆|콩, 제기|두|豆|7
逗|머무를|두|辶|11
頭|머리, 우두머리|두|頁|16
屯|모일|둔|屮|4
臀|볼기|둔|月|17
芚|싹나올, 어리석을|둔|艹|8
遁|달아날, 숨을|둔|辶|13
遯|달아날, 숨을|둔|辶|15
鈍|우둔할, 무딜|둔|金|12
得|얻을, 만족할|득|彳|11
嶝|고개|등|山|15
橙|등자나무, 등자|등|木|16
燈|등잔|등|火|16
登|오를, 나아갈|등|癶|12
等|무리, 가지런할|등|竹|12
藤|등나무|등|艹|19
謄|베낄|등|言|17
鄧|나라 이름|등|阝|15
騰|오를|등|馬|20
癩|문둥병|라|疒|21
羅|늘어설, 그물|라|罒|19
蘿|쑥, 무우|라|艹|23
裸|벌거숭이|라|衤|13
邏|돌|라|辶|23
喇|나팔, 승려, 말 급히 할|라|口|12
懶|게으를|라|忄|19
拏|붙잡을|라|手|9
螺|소라, 고동|라|虫|17
樂|즐길, 편안할|락|木|15
洛|물 이름|락|氵|9
珞|구슬목걸이|락|王|10
落|떨어질|락|艹|13
酪|타락, 술|락|酉|13
駱|낙타, 가리온|락|馬|16
烙|지질|락|火|10
絡|이을, 두룰|락|糸|12
諾|대답할, 승낙할|락|言|16
亂|어지러울, 난리|란|乚|13
卵|알, 기를|란|卩|7
欄|난간, 난|란|木|21
爛|빛날, 문드러질|란|火|21
蘭|난초|란|艹|21
鸞|난새, 방울|란|鳥|30
丹|모란|란|丶|4
欒|모감주나무|란|木|23
瀾|물결|란|氵|20
剌|어그러질|랄|刂|9
辣|매울|랄|辛|14
嵐|남기|람|山|12
濫|넘칠, 함부로|람|氵|17
藍|쪽, 남빛|람|艹|18
襤|헌 누더기|람|衤|19
擥|쥘, 총찰할|람|手|18
攬|가질, 잡아당길|람|扌|24
欖|감람나무|람|木|25
籃|바구니|람|竹|20
纜|닻줄|람|糸|27
覽|볼|람|見|21
拉|끌고 갈, 꺾을|랍|扌|8
臘|납향, 섣달|랍|月|19
蠟|밀, 밀초|랍|虫|21
廊|행랑, 곁채|랑|广|13
朗|밝을|랑|月|11
浪|물결, 방랑할|랑|氵|10
狼|이리, 어지러울|랑|犭|10
郎|사내, 낭군|랑|阝|10
琅|옥돌, 금옥소리|랑|王|11
瑯|옥 이름, 고을 이름|랑|王|14
螂|사마귀|랑|虫|16
來|올, 다가올|래|人|8
崍|산 이름|래|山|11
徠|올, 위로할|래|彳|11
萊|명아주, 밭묵힐|래|艹|12
冷|찰, 쌀쌀할|랭|冫|7
掠|노략질할|략|扌|11
略|간략할, 다스릴|략|田|11
倆|재주|량|亻|10
樑|들보|량|木|15
粮|양식, 먹이|량|米|13
粱|기장, 기장밥|량|米|13
輛|수레|량|車|15
亮|밝을, 도울|량|亠|9
兩|두, 양|량|入|8
凉|서늘할, 얇을|량|冫|10
梁|들보, 다리|량|木|11
糧|양식, 먹이|량|米|18
良|어질, 좋을|량|艮|7
諒|믿을, 살펴 알|량|言|15
量|양, 헤아릴|량|里|12
侶|벗|려|亻|9
儷|짝|려|亻|21
慮|생각할, 근심|려|心|15
戾|어그러질, 돌려줄|려|戶|8
櫚|종려|려|木|19
藜|명아주|려|艹|19
蠣|굴조개|려|虫|21
驢|당나귀|려|馬|26
勵|힘쓸, 권장할|려|力|17
呂|음률, 법칙|려|口|7
廬|오두막집, 주막|려|广|19
旅|나그네, 군대|려|方|10
濾|거를|려|氵|18
礪|숫돌, 갈|려|石|20
閭|마을|려|門|15
驪|가라말, 검은 말|려|馬|29
麗|고울, 나라 이름|려|鹿|19
黎|검을, 많을|려|黍|15
瀝|물방울 떨어질, 찌|력|氵|19
礫|자갈|력|石|20
靂|벼락|력|雨|24
力|힘, 힘쓸|력|力|2
曆|책력, 셈|력|日|16
歷|지낼, 두루|력|止|16
轢|칠|력|車|22
攣|걸릴, 사모할|련|手|23
漣|잔물결, 눈물흘릴|련|氵|14
憐|불쌍히 여길, 어여|련|忄|15
戀|사모할|련|心|23
煉|달굴, 이길|련|火|13
璉|호련, 이을|련|王|15
練|익힐, 연복|련|糸|15
聯|연할, 연|련|耳|17
輦|손수레, 연|련|車|15
蓮|연, 연밥|련|艹|15
連|이을|련|辶|11
鍊|불릴|련|金|17
冽|맵게 찰|렬|冫|8
洌|맑을, 찰|렬|氵|9
裂|찢을, 터질|렬|衣|12
列|벌릴, 나란히 설|렬|刂|6
劣|용렬할|렬|力|6
烈|세찰, 굳셀|렬|灬|10
斂|거둘, 모을|렴|攵|17
濂|엷을, 시내 이름|렴|氵|16
廉|청렴할, 값쌀|렴|广|13
殮|염할|렴|歹|17
簾|발|렴|竹|19
獵|사냥할, 사냥|렵|犭|18
伶|영리할, 악공|령|亻|7
寧|편안할, 차라리|령|宀|14
岺|산 이름, 돌소리|령|山|8
笭|대바구니, 멍석|령|竹|11
翎|깃, 살깃|령|羽|11
逞|쾌할|령|辶|11
齡|나이|령|齒|20
令|영, 법|령|人|5
囹|옥|령|囗|8
嶺|재, 산고개|령|山|17
怜|영리할|령|忄|8
玲|금옥소리, 고울|령|王|9
羚|영양, 큰뿔양|령|羊|11
聆|들을, 깨달을|령|耳|11
鈴|방울|령|金|13
零|떨어질, 영|령|雨|13
靈|신령, 혼백|령|雨|24
領|옷깃, 목|령|頁|14
澧|강 이름, 물결소리|례|氵|16
隷|종, 붙을|례|隶|16
例|법식, 본보기|례|亻|8
禮|예, 절|례|示|18
醴|단술, 달|례|酉|20
勞|수고로울, 위로할|로|力|12
擄|노략질할, 사로잡을|로|扌|16
櫓|노, 방패|로|木|19
爐|화로|로|火|20
盧|목로, 검을|로|皿|16
蘆|갈대|로|艹|20
虜|사로잡을, 포로|로|虍|12
路|길|로|足|13
露|이슬, 드러날|로|雨|20
魯|미련할, 노나라|로|魚|15
鷺|백로|로|鳥|23
怒|성낼, 세찰|로|心|9
撈|잡을, 끙게|로|扌|15
潞|강 이름|로|氵|15
瀘|강 이름|로|氵|19
老|늙을, 늙은이|로|老|6
輅|수레|로|車|13
鹵|염밭, 노략질할|로|鹵|11
碌|자갈땅, 푸른빛|록|石|13
祿|복, 녹|록|示|13
綠|초록빛|록|糸|14
菉|조개풀, 적을|록|艹|12
錄|적을, 나타낼|록|金|16
鹿|사슴|록|鹿|11
麓|산기슭|록|鹿|19
論|말할, 논할|론|言|15
壟|밭두둑, 언덕|롱|土|19
弄|희롱할, 놀|롱|廾|7
籠|농, 새장|롱|竹|22
聾|귀먹을, 캄캄할|롱|耳|22
朧|흐릴|롱|月|20
瀧|비올|롱|氵|19
瓏|환할, 옥소리|롱|王|20
牢|우뢰, 감옥|뢰|牛|7
賂|뇌물|뢰|貝|13
雷|천둥, 칠|뢰|雨|13
儡|꼭두각시, 영락할|뢰|亻|17
瀨|여울, 급류|뢰|氵|19
磊|돌쌓일, 뜻클|뢰|石|15
賚|줄, 하사품|뢰|貝|15
賴|의뢰할|뢰|貝|16
廖|공허할, 성|료|广|14
瞭|맑을, 밝을|료|目|17
聊|애오라지, 힘입을|료|耳|11
鬧|시끄러울|료|鬥|15
了|마칠, 깨달을|료|亅|2
僚|동료, 관리|료|亻|14
寮|동관, 집|료|宀|15
料|되질할, 거리|료|斗|10
燎|불놓을, 화톳불|료|火|16
療|고칠, 병나을|료|疒|17
蓼|여뀌|료|艹|15
遼|멀|료|辶|16
龍|용|룡|龍|16
壘|진, 쌓을|루|土|18
屢|자주, 여러|루|尸|14
樓|다락|루|木|15
淚|눈물, 울|루|氵|11
漏|샐, 물시계|루|氵|14
累|여러, 폐끼칠|루|糸|11
縷|실, 자세할|루|糸|17
陋|추할, 좁을|루|阝|9
婁|끌, 빌|루|女|11
瘻|부스럼, 곱사등이|루|疒|16
蔞|산쑥|루|艹|15
褸|헌 누더기|루|衤|16
鏤|새길, 강철|루|金|19
旒|깃발, 면류관끈|류|方|13
榴|석류나무|류|木|14
瀏|맑을, 빠를|류|氵|18
瑠|유리|류|王|14
瘤|혹|류|疒|15
謬|그릇될, 속일|류|言|18
劉|성|류|刂|15
柳|버드나무, 별 이름|류|木|9
流|흐를, 구할|류|氵|10
溜|물방울, 김서릴|류|氵|13
琉|유리|류|王|11
留|머무를|류|田|10
硫|유황|류|石|12
類|무리, 비슷할|류|頁|19
六|여섯|륙|八|4
戮|죽일, 욕될|륙|戈|15
陸|뭍, 뛸|륙|阝|11
侖|생각할, 둥글|륜|人|8
崙|산 이름|륜|山|11
綸|인끈, 낚싯줄|륜|糸|14
倫|인륜, 무리|륜|亻|10
淪|빠질, 잔물결|륜|氵|11
輪|바퀴, 둘레|륜|車|15
率|율, 비례|률|玄|11
律|법, 가락|률|彳|9
慄|두려워할|률|忄|13
栗|밤, 단단할|률|木|10
隆|높일, 성할|륭|阝|12
勒|굴레, 억지로 할|륵|力|11
肋|갈빗대|륵|月|6
凜|찰, 늠름할|름|冫|15
凌|능가할, 업신여길|릉|冫|10
稜|모, 서슬|릉|禾|13
綾|비단|릉|糸|14
菱|마름|릉|艹|12
陵|언덕, 능|릉|阝|11
楞|모서리, 엄할|릉|木|13
俚|속될|리|亻|9
厘|리|리|厂|9
唎|가는 소리|리|口|10
悧|영리할|리|忄|10
李|오얏나무, 행장|리|木|7
浬|해리|리|氵|10
犁|얼룩소|리|牛|11
狸|너구리|리|犭|10
璃|유리|리|王|15
異|다를, 괴이할|리|田|11
籬|울타리|리|竹|25
羸|파리할, 고달플|리|羊|19
莉|말리(관목 이름)|리|艹|11
釐|다스릴|리|里|18
鯉|잉어|리|魚|18
利|이로울, 날카로울|리|刂|7
吏|관리, 아전|리|口|6
履|신, 밟을|리|尸|15
梨|배나무|리|木|11
理|다스릴, 도리|리|王|11
痢|설사|리|疒|12
罹|걸릴, 근심할|리|罒|16
裏|속, 안|리|衣|13
裡|속, 안|리|衤|12
里|마을, 거리단위|리|里|7
離|떠날, 흩어질|리|隹|19
潾|맑을, 돌샘|린|氵|15
躪|짓밟을, 유린할|린|足|27
吝|인색할, 아낄|린|口|7
燐|도깨비불, 인|린|火|16
璘|옥빛|린|王|16
藺|골풀|린|艹|20
隣|이웃, 보필|린|阝|15
鱗|비늘|린|魚|23
麟|기린|린|鹿|23
琳|아름다운 옥, 옥 이|림|王|12
霖|장마|림|雨|16
林|수풀|림|木|8
淋|물방울 떨어질, 뿌|림|氵|11
臨|임할, 볼|림|臣|17
砬|돌소리|립|石|10
立|설, 세울|립|立|5
笠|삿갓|립|竹|11
粒|낱알|립|米|11
摩|갈, 닳아 없어질|마|手|15
瑪|마노|마|王|14
痲|홍역, 저릴|마|疒|13
碼|마노, 야드|마|石|15
磨|갈, 맷돌|마|石|16
馬|말, 산가지|마|馬|10
魔|마귀, 마술|마|鬼|21
麻|삼|마|麻|11
寞|쓸쓸할|막|宀|14
幕|장막, 군막|막|巾|14
漠|사막, 넓을|막|氵|14
膜|꺼풀|막|月|15
莫|없을, 아득할|막|艹|11
邈|멀, 업신여길|막|辶|18
万|일만(약자)|만|一|3
卍|만자|만|十|6
娩|해산할|만|女|10
巒|메|만|山|22
彎|당길, 굽을|만|弓|22
慢|게으를, 느릴|만|忄|14
挽|당길, 상여문노래|만|扌|10
晩|늦을, 저물|만|日|11
曼|길, 아름다울|만|曰|11
滿|찰, 풍족할|만|氵|14
漫|질펀할, 흩어질|만|氵|14
灣|물굽이|만|氵|25
瞞|속일, 흐릴|만|目|16
萬|일만, 많을|만|艹|13
蔓|덩굴, 퍼질|만|艹|15
蠻|오랑캐|만|虫|25
輓|끌, 만사|만|車|14
饅|만두|만|食|20
鰻|뱀장어|만|魚|22
唜|끝|말|口|10
抹|바를, 지울|말|扌|8
末|끝, 보잘것 없을|말|木|5
沫|거품, 침|말|氵|8
茉|말리|말|艹|9
襪|버선|말|衤|20
靺|오랑캐 이름|말|革|14
亡|망할|망|亠|3
妄|망녕될|망|女|6
忘|잊을|망|心|7
忙|바쁠|망|忄|6
望|바랄, 바라볼|망|月|11
網|그물, 그물질할|망|糸|14
罔|없을, 그물|망|罒|8
芒|까끄라기, 꼬리별|망|艹|7
茫|아득할, 멍할|망|艹|10
莽|풀, 초목 우거질|망|艹|11
輞|바퀴테|망|車|15
邙|산 이름|망|阝|6
埋|묻을, 숨을|매|土|10
妹|손아랫 누이|매|女|8
媒|중매|매|女|12
寐|잘|매|宀|12
昧|어두울|매|日|9
枚|낱, 줄기|매|木|8
梅|매화나무|매|木|11
每|매양, 마다|매|毋|7
煤|그을음, 석탄|매|火|13
罵|꾸짖을, 욕할|매|罒|15
買|살|매|貝|12
賣|팔|매|貝|15
邁|갈, 힘쓸|매|辶|17
魅|도깨비, 호릴|매|鬼|15
脈|맥, 줄기|맥|月|10
貊|오랑캐|맥|豸|13
陌|길|맥|阝|9
驀|넘을|맥|馬|21
麥|보리|맥|麥|11
孟|맏, 맹랑할|맹|子|8
氓|백성|맹|氏|8
猛|사나울, 날랠|맹|犭|11
盲|먼눈, 무지할|맹|目|8
盟|맹세할, 맹세|맹|皿|13
萌|싹, 싹틀|맹|艹|12
冪|덮을, 멱|멱|冖|16
覓|구할|멱|見|11
免|면할, 허락할|면|儿|7
冕|면류관|면|冂|11
勉|힘쓸|면|力|9
棉|목화|면|木|12
沔|물 이름, 물 그득히|면|氵|7
眄|곁눈질할|면|目|9
眠|잘, 쉴|면|目|10
綿|솜, 잇닿을|면|糸|14
緬|멀, 가는실|면|糸|15
面|낯, 면|면|面|9
麵|밀가루|면|麥|20
滅|멸망할, 죽을|멸|氵|13
蔑|업신여길, 없을|멸|艹|15
冥|어두울, 깊숙할|명|冖|10
名|이름, 이름날|명|口|6
命|목숨, 운수|명|口|8
明|밝을, 똑똑할|명|日|8
暝|어두울, 쓸쓸할|명|日|14
椧|홈통|명|木|12
溟|바다, 어두울|명|氵|13
皿|그릇|명|皿|5
瞑|눈감을, 어두울|명|目|15
茗|차싹, 차|명|艹|10
蓂|명협|명|艹|14
螟|마디충|명|虫|16
酩|술취할|명|酉|13
銘|새길, 명|명|金|14
鳴|울, 울릴|명|鳥|14
袂|소매|몌|衤|9
侮|업신여길|모|亻|9
冒|무릅쓸|모|冂|9
募|모을|모|力|13
姆|여스승, 유모|모|女|8
帽|모자|모|巾|12
慕|사모할, 생각할|모|心|15
摸|더듬어 찾을, 본뜰|모|扌|14
摹|본뜰|모|手|15
暮|저물, 늦을|모|日|15
某|아무|모|木|9
模|법, 본뜰|모|木|15
母|어머니, 할미|모|毋|5
毛|털, 가늘|모|毛|4
牟|보리, 탐낼|모|牛|6
牡|수컷, 모란|모|牛|7
瑁|옥 이름, 바다거북|모|王|13
眸|눈동자|모|目|11
矛|창|모|矛|5
耗|덜릴, 어지러울|모|耒|10
芼|풀우거질, 풀|모|艹|8
茅|띠|모|艹|9
謀|꾀할|모|言|16
謨|꾀, 꾀할|모|言|18
貌|모양|모|豸|14
木|나무, 질박할|목|木|4
沐|머리감을|목|氵|7
牧|칠, 다스릴|목|牛|8
目|눈, 눈여겨볼|목|目|5
睦|화목할, 친할|목|目|13
穆|온화할, 아름다울|목|禾|16
鶩|집오리|목|鳥|20
歿|죽을|몰|歹|8
沒|빠질, 다할|몰|氵|7
夢|꿈|몽|夕|14
朦|흐릴|몽|月|18
蒙|어릴, 어리석을|몽|艹|14
卯|토끼|묘|卩|5
墓|무덤|묘|土|14
妙|묘할, 예쁠|묘|女|7
廟|사당, 묘당|묘|广|15
描|그릴|묘|扌|12
昴|별자리 이름|묘|日|9
杳|어두울|묘|木|8
渺|아득할|묘|氵|12
猫|고양이|묘|犭|12
竗|땅이름|묘|立|9
苗|모, 핏줄|묘|艹|9
錨|닻|묘|金|17
務|힘쓸, 일|무|力|11
巫|무당|무|工|7
憮|어루만질|무|忄|15
懋|힘쓸, 성할|무|心|17
戊|다섯째 천간|무|戈|5
拇|엄지손가락|무|扌|8
撫|어루만질, 위로할|무|扌|15
无|없을|무|无|4
楙|무성할, 힘쓸|무|木|13
武|군사, 굳셀|무|止|8
毋|말릴, 앵무새|무|毋|4
無|없을|무|灬|12
珷|옥돌|무|王|11
畝|이랑, 두둑|무|田|10
繆|얽을|무|糸|17
舞|춤출, 환롱할|무|舛|14
茂|우거질, 힘쓸|무|艹|9
蕪|거칠, 번성할|무|艹|16
誣|꾸밀|무|言|14
貿|장사할, 살|무|貝|12
霧|안개|무|雨|19
鵡|앵무새|무|鳥|18
墨|먹, 자자할묵|묵|土|15
默|묵묵할, 고요할|묵|黑|16
們|무리|문|亻|10
刎|목자를|문|刂|6
吻|입술|문|口|7
問|물을, 문초할|문|口|11
文|글월, 글자|문|文|4
汶|수치, 물 이름|문|氵|7
紊|어지러울, 얽힐|문|糸|10
紋|무늬|문|糸|10
聞|들을, 알려질|문|耳|14
蚊|모기|문|虫|10
門|문, 집안|문|門|8
雯|구름무늬|문|雨|12
勿|금지할, 없을|물|勹|4
沕|아득할|물|氵|7
物|만물, 일|물|牛|8
味|맛, 기분|미|口|8
媚|아첨할, 예쁠|미|女|12
尾|꼬리, 끝|미|尸|7
嵋|산 이름|미|山|12
彌|두루, 더욱|미|弓|17
微|작을, 정묘할|미|彳|13
未|아닐, 여덟째 지지|미|木|5
梶|나무끝|미|木|11
楣|방패, 난간|미|木|13
渼|물놀이, 내 이름|미|氵|12
湄|물가|미|氵|12
眉|눈썹, 가|미|目|9
米|쌀, 미터|미|米|6
美|아름다울, 맛날|미|羊|9
薇|고비, 장미|미|艹|17
謎|수수께끼|미|言|17
迷|헤맬|미|辶|10
靡|쓰러질, 화려할|미|非|19
黴|곰팡이|미|黑|23
岷|산 이름|민|山|8
悶|번민할|민|心|12
愍|가엾어할|민|心|13
憫|불쌍히 여길, 근심|민|忄|15
敏|민첩할, 공손할|민|攵|11
旻|하늘|민|日|8
旼|온화할|민|日|8
民|백성|민|氏|5
泯|멸할, 다할|민|氵|8
玟|옥돌|민|王|8
珉|옥돌|민|王|9
緡|낚싯줄, 돈꿰미|민|糸|15
閔|우환, 근심할|민|門|12
密|빽빽할, 촘촘할|밀|宀|11
蜜|꿀|밀|虫|14
謐|조용할|밀|言|17
剝|벗길|박|刂|10
博|넓을, 노름|박|十|12
拍|손뼉칠, 박자|박|扌|8
搏|칠, 잡을|박|扌|13
撲|칠|박|扌|15
朴|순박할, 밑둥|박|木|6
樸|순박할, 통나무|박|木|16
泊|배달, 묵을|박|氵|8
珀|호박|박|王|9
璞|옥덩이, 소박할|박|王|16
箔|발, 잠박|박|竹|14
粕|지게미, 깻묵|박|米|11
縛|묶을, 얽을|박|糸|16
膊|포, 팔|박|月|14
舶|배|박|舟|11
薄|얇을, 적을|박|艹|17
迫|닥칠, 핍박할|박|辶|9
雹|누리|박|雨|13
駁|얼룩얼룩할, 논박할|박|馬|14
伴|짝, 모실|반|亻|7
半|반, 조각|반|十|5
反|돌이킬, 되풀이할|반|又|4
叛|배반할|반|又|9
拌|버릴, 쪼갤|반|扌|8
搬|옮길|반|扌|13
攀|더 위 잡고 오를,|반|手|19
斑|얼룩|반|文|12
槃|쟁반, 즐길|반|木|14
泮|반수|반|氵|8
潘|소용돌이|반|氵|15
班|나눌, 이별할|반|王|10
畔|두둑, 물가|반|田|10
瘢|흉, 자국|반|疒|15
盤|소반, 받침|반|皿|15
盼|눈이 예쁠, 예쁜 눈|반|目|9
磐|너럭바위, 넓을|반|石|15
礬|광물 이름|반|石|20
絆|옭아맬, 말굴래|반|糸|11
般|옮길, 돌아올|반|舟|10
蟠|서릴|반|虫|18
返|돌아올|반|辶|8
頒|나눌, 반쯤 셀|반|頁|13
飯|밥, 먹을|반|食|13
磻|강 이름|반|石|17
勃|우쩍 일어날, 갑자|발|力|9
拔|뺄, 빼어날|발|扌|8
撥|다스릴, 없앨|발|扌|15
渤|바다 이름|발|氵|12
潑|뿌릴, 사나울|발|氵|15
發|쏠, 일어날|발|癶|12
跋|밟을|발|足|12
醱|빚을|발|酉|19
鉢|바리때|발|金|13
髮|머리|발|髟|15
魃|가물귀신, 가물|발|鬼|15
倣|본받을, 배울|방|亻|10
傍|곁|방|亻|12
坊|동네, 방|방|土|7
妨|방해할, 꺼리낄|방|女|7
尨|삽살개, 클|방|尢|7
幇|도울, 곁들|방|巾|12
彷|배회할, 비슷할|방|彳|7
房|방, 별 이름|방|戶|8
放|놓을, 내쫓을|방|攵|8
方|모, 방향|방|方|4
旁|곁, 널리|방|方|10
昉|밝을, 비로소|방|日|8
枋|나무 이름|방|木|8
榜|매질할, 배젓는 노|방|木|14
滂|죽죽 퍼부을|방|氵|13
磅|돌떨어지는소리, 파|방|石|15
紡|자을, 실뽑을|방|糸|10
肪|비계|방|月|8
膀|오줌통|방|月|14
舫|방주, 배|방|舟|10
芳|꽃다울, 이름빛날|방|艹|8
蒡|우엉|방|艹|14
蚌|방합|방|虫|10
訪|찾을, 물을|방|言|11
謗|헐뜯을|방|言|17
邦|나라|방|阝|7
防|막을, 둑|방|阝|7
龐|어지러울, 클|방|龍|19
倍|곱|배|亻|10
俳|광대|배|亻|10
北|달아날|배|匕|5
培|북돋을, 가꿀|배|土|11
徘|노닐|배|彳|11
拜|절, 삼가고 공경할|배|手|9
排|물리칠, 밀|배|扌|11
杯|잔|배|木|8
湃|물결소리|배|氵|12
焙|쬘|배|火|12
盃|잔|배|皿|9
背|등, 등질|배|月|9
胚|아이밸, 시초|배|月|9
裴|성, 옷 치렁치렁할|배|衣|14
裵|성, 옷 치렁치렁할|배|衣|14
褙|배자, 속옷|배|衤|14
賠|물어줄|배|貝|15
輩|무리, 견줄|배|車|15
配|짝, 귀양보낼|배|酉|10
陪|도울, 더할|배|阝|11
伯|맏, 우두머리|백|亻|7
佰|일백|백|亻|8
帛|비단, 폐백|백|巾|8
柏|나무 이름, 잣나무|백|木|9
栢|나무 이름, 잣나무|백|木|10
白|흰, 깨끗할|백|白|5
百|일백, 많을|백|白|6
魄|넋|백|鬼|15
幡|기, 먹걸레|번|巾|15
樊|새장, 울타리|번|木|15
煩|번거로울|번|火|13
燔|사를|번|火|16
番|번, 회수|번|田|12
磻|돌살촉|파|石|17
繁|성할, 많을|번|糸|17
蕃|우거질, 물을|번|艹|16
藩|울, 지킬|번|艹|19
飜|날, 나부낄|번|飛|21
伐|칠, 벨|벌|亻|6
筏|떼|벌|竹|12
罰|벌줄, 벌|벌|罒|14
閥|공로, 지체|벌|門|14
凡|무릇, 대강|범|几|3
帆|돛|범|巾|6
梵|범어|범|木|11
氾|넘칠, 뜰|범|氵|5
